indexUrl,title,url,sha256,bytes,rows,numericCells,blankCells,firstDay,lastDay,uniqueDays
https://www.ercot.com/mktinfo/data_agg,Historical Loss Factors_2026-01-01_thru_2026-07-31_20260706,https://www.ercot.com/files/docs/2025/02/14/Historical-Loss-Factors_2026-01-01_thru_2026-07-31_20260805.xlsx,699b6352cfc89f21350f1ada55093e6f195de0135545c9e9fff9e12dc68c3eb6,6399890,7632,732528,30672,2026-01-01,2026-07-31,212
https://www.ercot.com/mktinfo/data_agg/2001,2001 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2004/05/20/2001_historical_actual_losses.zip,d625b829068458d96450877841fad46f5a92e087bc85ce348ff5e3b01e611de6,143290,154,14788,0,2001-07-31,2001-12-31,154
https://www.ercot.com/mktinfo/data_agg/2001,2001 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2004/05/20/2001_historical_distribution_loss_factors.zip,67d1431f611fd8dbe00eb3132327699de0c063fc32d60cb60d76f45879a7b085,1713214,2156,207032,0,2001-07-31,2001-12-31,154
https://www.ercot.com/mktinfo/data_agg/2001,2001 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2004/05/20/2001_historical_forecasted_losses.zip,3e2428ff77f7874ba514fc357ead36c51212572143c39d37426d2cfbb3cc5db6,87285,154,14788,0,2001-07-31,2001-12-31,154
https://www.ercot.com/mktinfo/data_agg/2002,2002 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2004/05/20/2002_historical_actual_losses.zip,1568469678565a81978bab7a5c98f931e3ab847d0065b9172c7c5d4305391eca,248841,365,35040,4,2002-01-01,2002-12-31,365
https://www.ercot.com/mktinfo/data_agg/2002,2002 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2004/05/20/2002_historical_distribution_loss_factors.zip,40b0ff91fb13e7ce367be436ea38f47d01beaa374753a577c90e47c36545f7b4,4372419,5475,525600,60,2002-01-01,2002-12-31,365
https://www.ercot.com/mktinfo/data_agg/2002,2002 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2004/05/20/2002_historical_forecasted_losses.zip,9413f6c280aa39df69537c8f33c9346479d140e0d973ab4b1cd334b3e00f023a,146545,365,35040,4,2002-01-01,2002-12-31,365
https://www.ercot.com/mktinfo/data_agg/2003,2003 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2004/05/20/2003_historical_actual_losses.zip,d120bfb796cc8d7c6f277e4baa1148b383653da91cc623fe6cf0b786fd6ee968,286549,365,35040,4,2003-01-01,2003-12-31,365
https://www.ercot.com/mktinfo/data_agg/2003,2003 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2004/05/20/2003_historical_distribution_loss_factors.zip,8e1aaf7141614da1628748203fb989c7bdca31cae0e3c63ab7b31656c997be2e,4377476,5475,525600,60,2003-01-01,2003-12-31,365
https://www.ercot.com/mktinfo/data_agg/2003,2003 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2004/05/20/2003_historical_forecasted_losses.zip,4c221de23161c31dbe8bb2d43cede786245d1bd7ebc54a92aa29066fd39d818c,152576,365,35040,4,2003-01-01,2003-12-31,365
https://www.ercot.com/mktinfo/data_agg/2004,2004 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2005/02/01/2004_historical_actual_losses.zip,ac338eb24388a8ac2b7f3519f1a0c9d4af9ffd96c1884256d9e73a941a33be12,275605,366,35136,4,2004-01-01,2004-12-31,366
https://www.ercot.com/mktinfo/data_agg/2004,2004 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2005/02/01/2004_historical_distribution_loss_factors.zip,3a8e97b4476be1ec792ecbc32074fe832cadfc380f59739aeefb4b013730a39f,4527627,5612,538756,60,2004-01-01,2004-12-31,366
https://www.ercot.com/mktinfo/data_agg/2004,2004 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2005/02/01/2004_historical_forecasted_losses.zip,907a0bc471ec429ca6404d5aa2a002171965a8641d9c9e4f921042bea43aaaaa,155830,366,35136,4,2004-01-01,2004-12-31,366
https://www.ercot.com/mktinfo/data_agg/2005,2005 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2006/02/07/dlf_for_2005.zip,d252659b980303e5ec241ed5fe76d5ae203ee1c1e9fc3965315729f014e72d61,5251957,6341,608740,68,2005-01-01,2005-12-31,365
https://www.ercot.com/mktinfo/data_agg/2005,2005 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2006/02/07/tlf_actual_for_2005.zip,815d4760c97bc86c9581dce6a49831c0478eb8f299f67bcdad4a91f34e8a9290,278847,365,35040,4,2005-01-01,2005-12-31,365
https://www.ercot.com/mktinfo/data_agg/2005,2005 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2006/02/07/tlf_forecasted_for_2005.zip,79ed85c0c32e83ffd06ecc8e7c2b93e9220b16a776a9eea7c30f62c22fbdf5ab,156356,365,35040,4,2005-01-01,2005-12-31,365
https://www.ercot.com/mktinfo/data_agg/2006,2006 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2007/01/05/dlf_forecasted_for_2006.zip,7b65975a969d7baca0f7f3e9f63cdafa14aae628a215f755584b699a0f274d58,5445717,6570,630720,72,2006-01-01,2006-12-31,365
https://www.ercot.com/mktinfo/data_agg/2006,2006 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2007/01/05/tlf_for_2006.zip,fa440af9cffb6a29da2efd760a310f024ffffaa61e3ba9c8c909f5af18a2be64,287404,365,35040,4,2006-01-01,2006-12-31,365
https://www.ercot.com/mktinfo/data_agg/2006,2006 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2007/01/05/tlf_forecasted_for_2006.zip,ea423bc672063cc2b39a7351d5020b1e2bfad7150f753018534d3b097aa34cab,155919,365,35040,4,2006-01-01,2006-12-31,365
https://www.ercot.com/mktinfo/data_agg/2006,2006 TDSP Distribution Loss Factors - Actual,https://www.ercot.com/files/docs/2007/02/02/dlf_actual_for_2006.zip,c9214c6a6a3357ada6f4bf3f8efdbe4fd8267c5195ec02d23edcf0e695ec2acc,754332,450,43200,0,2006-12-07,2006-12-31,25
https://www.ercot.com/mktinfo/data_agg/2007,2007 TDSP Distribution Loss Factors - Actual,https://www.ercot.com/files/docs/2008/01/03/dlf_actual_for_2007.zip,172d71f214eab3d1717fa65081343b2a68c62506956aa6f04f43f9658a0fb1fc,5185661,6080,583672,72,2007-01-01,2007-12-31,365
https://www.ercot.com/mktinfo/data_agg/2007,2007 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2008/01/03/dlf_forecasted_for_2007.zip,ffc10bca1d9c6dcc6d45b389750bfca7c7fae212ec456236475bbc300ae49bd8,2483381,6086,584248,72,2007-01-01,2007-12-31,365
https://www.ercot.com/mktinfo/data_agg/2007,2007 TDSP Transmission Loss Factors - Actual,https://www.ercot.com/files/docs/2008/01/03/tlf_actual_for_2007.zip,fe42217fa02c5665fb1f1c6a4f9fd1b23a3db2937ef1f6a18baecdf9b9050f55,332662,365,35040,4,2007-01-01,2007-12-31,365
https://www.ercot.com/mktinfo/data_agg/2007,2007 TDSP Transmission Loss Factors - Forecasted,https://www.ercot.com/files/docs/2008/01/03/tlf_forecasted_for_2007.zip,89e7d7f5a9ee77b3d46bd6801d0e9c8f65db520d75ff4984309110af8225589e,578498,365,35040,4,2007-01-01,2007-12-31,365
https://www.ercot.com/mktinfo/data_agg/2008,2008 TDSP Distribution Loss Factors - Actual,https://www.ercot.com/files/docs/2009/01/05/dlf_actual_for_2008.zip,ed2628fee99689a5a918005c1aad8ceaacfa0ffe88e7e399a78341bab58f1eca,4793480,5856,562176,64,2008-01-01,2008-12-31,366
https://www.ercot.com/mktinfo/data_agg/2008,2008 TDSP Distribution Loss Factors - Forecasted,https://www.ercot.com/files/docs/2009/01/05/dlf_forecasted_for_2008.zip,97c7734bfb5ff23ed1ffae0a098495c21286939d7209883e5ac6ef5d0434c775,2340094,5856,562176,64,2008-01-01,2008-12-31,366
