url,title,member,originalSha256,defaultProtection,rows,numericParameters,archiveSha256
https://www.ercot.com/files/docs/2010/11/12/2011_tdsp_distribution_loss_factors___methodology.zip,2011 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2011.xls,ce5ef92930acee19dec0213f0a9c3fd9846c28e331d7cf0f3d0d8c98b248637f,True,16,48,0aac784f1c046d014a40fc0d8762e1da9bf491dcfad79cfd8dda24d7ff96b6aa
https://www.ercot.com/files/docs/2009/11/17/ercot_dlf_posting_for_2010.zip,2010 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2010.xls,99d7feccea1e571941bf2d7c2ccc5be70622f3980b9bf0ec4ae3b23bfcad9345,False,16,48,767906128c18abbc6b4fcb6abaf18ad5d14897ff3ac595027a3b8287511fce9f
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2009.zip,2009 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2009.xls,eb5fa5149d031c898f4366f621641f2f5953ebcd28822de0a076b1589d5864a3,True,16,48,bee58dde1809c96fc13e2387c3b84f04974493285a039d5749e64980377f1787
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2008.zip,2008 TDSP Distribution Loss Factors - Methodology,ERCOT DLF Posting for 2008/ERCOT_DLF_Summary_2008.xls,61bddbeedfb551ce567de106933c8cc3d3ed9af7a190c5273c30220e26093007,True,16,48,59aa78b149d57b8de03d6e964f629cac88aec18fcbc601bd3e81c964bd50e3bd
https://www.ercot.com/files/docs/2009/10/21/ercot_dlf_posting_for_2007_may_dec.zip,2007 TDSP Distribution Loss Factors - Methodology (May - Dec),DLF's for 2007 May-Dec/ERCOT/ERCOT_DLF_Summary_2007.xls,e96916e230b0488c84b42a7c64491cb1ba9933fdbd662953e4646212b92ca163,False,16,48,5c9bc024fa98898eac3076d76335170f9be41b73a1b8af10b14d57c54645c865
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2007.zip,2007 TDSP Distribution Loss Factors - Methodology (Jan - Apr),DLF 2007 posting 12-11-06/ERCOT_DLF_Summary_2007.xls,99ea14f9a9f672502a8aef4002d8fe2630bcf2d04f56d3d4e3112dc261d96130,True,18,54,92205a78dd43a5a0d97840eaed0fc7c088f046977b2101d9f1e02c47efbf99de
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2006.zip,2006 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2006.xls,28baef1af49c91abb0c76d0437e2ec8404fd24a36c79bc539b081cc3bc874cae,True,18,54,461b2ea75e0b79304f798bc9ef7a02dfb71db14cbd83524833dddaf123799dc8
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2005.zip,2005 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2005.xls,01d03b43150b954abfaa7a2e1e02f936cc6143780ae53280a863cda02479be3a,True,18,54,67ad45f65f942142b1b90c48896adb88450a7d065ebf1bd281d11c7c1ddb59ad
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2004.zip,2004 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2004.xls,4e2709c949713f6da57318b65a9304051b32c4e16343e0b14affe59f4b6a390b,True,16,48,cd5a36e71ce45a8761a433e65e811fe3b8c55f4cc3f1c947c96bd696adb098fd
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2003.zip,2003 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2003 .xls,098b2df6dd29f21447e07ddaca98ee3c9cfda7fbd0f120e4f320a7731b987fe8,False,15,45,d14e8e5fc5d6bcc8de0152ccf0e4156630bc1b9c9314f63e607a30168772f79e
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2002.zip,2002 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2002.xls,3b2e6dda7ac01b13323ef27e18e3dc96ccf5cd629d6c8f535f47de1abae1276b,False,15,45,d78ace036a36abc09cd744a00e187cf15b9552adca941006cd9acbde8bcc886f
https://www.ercot.com/files/docs/2009/10/19/ercot_dlf_posting_for_2001.zip,2001 TDSP Distribution Loss Factors - Methodology,ERCOT_DLF_Summary_2001.xls,1ac334cf5d72254b72b87243e3d77e3a01b50ce54dcdaced57f9615d70cafcff,False,14,42,ed10cedcb7ca44291837032c0c616d0616023b2e1b97c1e1916f9193d773e7e5
