SCEDTimestamp,RepeatedHourFlag,ASType,MCPC
12/05/2025 00:05:17,N,ECRS,0.47
12/05/2025 00:05:17,N,NSPIN,1.86
12/05/2025 00:05:17,N,REGDN,0.4
