Delivery Date,Hour Ending,QSE,DME,Resource Name,Resource Type,QSE submitted Curve-MW1,QSE submitted Curve-Price1,QSE submitted Curve-MW2,QSE submitted Curve-Price2,QSE submitted Curve-MW3,QSE submitted Curve-Price3,QSE submitted Curve-MW4,QSE submitted Curve-Price4,QSE submitted Curve-MW5,QSE submitted Curve-Price5,QSE submitted Curve-MW6,QSE submitted Curve-Price6,QSE submitted Curve-MW7,QSE submitted Curve-Price7,QSE submitted Curve-MW8,QSE submitted Curve-Price8,QSE submitted Curve-MW9,QSE submitted Curve-Price9,QSE submitted Curve-MW10,QSE submitted Curve-Price10,Start Up Hot,Start Up Inter,Start Up Cold,Min Gen Cost,HSL,LSL,Resource Status,Awarded Quantity,Settlement Point Name,Energy Settlement Point Price,RegUp Awarded,RegUp MCPC,RegDown Awarded,RegDown MCPC,RRSPFR Awarded,RRSFFR Awarded,RRSUFR Awarded,RRS MCPC,ECRSSD Awarded,ECRS MCPC,NonSpin Awarded,NonSpin MCPC
07/09/2026,1,QSUE66,Y7VSOL,7RNCHSLR_UNIT1,PVGR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,ON,,7RNCHSLR_ALL,26.57,,,,,,,,,,,,
07/09/2026,1,QSUE66,Y7VSOL,7RNCHSLR_UNIT2,PVGR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,ON,,7RNCHSLR_ALL,26.57,,,,,,,,,,,,
07/09/2026,1,QSUE66,Y7VSOL,7RNCHSLR_UNIT3,PVGR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,ON,,7RNCHSLR_ALL,26.57,,,,,,,,,,,,
