TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
04/01/2026,HHOLLW4_WND1,CHISMGRD_RN,Off-peak,05/01/2026,-2.9138,-1.0881
04/01/2026,HHOLLW4_WND1,FRMRSVLW_RN,Off-peak,05/01/2026,-1.6985,-0.5574
04/01/2026,HHOLLW3_WND1,CISC_RN,Off-peak,05/01/2026,-1.6345,0.12
