"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"1370 SHANNON LLC (RE)","SHANNONW_UNIT_1","Generation","Not Applicable","1370 SHANNON LLC (DME)","1450336317000","N"
"224WB 8ME LLC (RE)","GALLOWAY_SOLAR2","Generation","Not Applicable","224WB 8ME LLC (DME)","0815527087000","N"
"225DD 8ME LLC (RE)","GALLOWAY_SOLAR1","Generation","Not Applicable","225DD 8ME LLC (DME)","0815490207000","N"
