IntervalEnding,Region,Value,Model,InUseFlag,DSTFlag
03/26/2026 11:45,CENTEREAST,4494.1,A,N,N
03/26/2026 11:45,CENTEREAST,4665.2,B,Y,N
03/26/2026 11:45,CENTEREAST,4579.65,C,N,N
