DeliveryDate,HourEnding,RUCTimeStamp,ASType,DemandCurvePoint,Quantity,Price,RepeatedHourFlag
02/28/2026,01:00,02/27/2026 01:10:53,ECRS,1,0,5050,N
02/28/2026,01:00,02/27/2026 01:10:53,ECRS,2,40,5050,N
02/28/2026,01:00,02/27/2026 01:10:53,ECRS,3,41,3353.06,N
