SCED Timestamp,Repeated Hour Flag,MW Offered,ECRSS Offer Price
12/05/2025 00:00:19,N,1303,0
12/05/2025 00:00:19,N,9685.8,.01
12/05/2025 00:00:19,N,9998.1,.1
