SCEDTimeStamp,RepeatedHourFlag,ConstraintID,ConstraintName,ContingencyName,ShadowPrice,MaxShadowPrice,Limit,Value,ViolatedMW,FromStation,ToStation,FromStationkV,ToStationkV,CCTStatus
04/30/2014 23:55:08,N,1,GILA_HIWAY_2_1,SKOCNU28,0,3500,254.7,239.4,-15.3,GILA,HIWAY_9,138,138,NONCOMP
04/30/2014 23:50:08,N,1,GILA_HIWAY_2_1,SKOCNU28,0,3500,254.8,233.2,-21.6,GILA,HIWAY_9,138,138,NONCOMP
04/30/2014 23:45:07,N,1,GILA_HIWAY_2_1,SKOCNU28,0,3500,254.7,232.2,-22.5,GILA,HIWAY_9,138,138,NONCOMP
