SCED Timestamp,Repeated Hour Flag,MW Offered,NSPIN Offer Price
09/05/2026 00:00:20,N,7285.6,0
09/05/2026 00:00:20,N,11567.5,.01
09/05/2026 00:00:20,N,11773.6,.02
