INTERVAL_ENDING,SYSTEM_WIDE_GEN,SYSTEM_WIDE_HSL,DSTFlag
09/07/2026 11:10,32404.92,32603.65,N
09/07/2026 11:15,32337.17,32570.19,N
09/07/2026 11:20,32497.77,32676.46,N
