"Interval Time","Interval Number","Resource Code","Interval Value"
"03/02/2014 00:14:59","1","ACACIA_UNIT_1","0"
"03/02/2014 00:14:59","1","AMISTAD_AMISTAG1","0"
"03/02/2014 00:14:59","1","AMISTAD_AMISTAG2","6.175434"
