DeliveryDate,HourEnding,Region,Value,Model,InUseFlag,DSTFlag
09/05/2026,12,SYSTEM_TOTAL,2661.1,S,Y,N
09/05/2026,12,COASTAL,703.3,WF1,N,N
09/05/2026,12,NORTH,88.1,WF1,N,N
