RTDTimestamp,RepeatedHourFlag,IntervalId,IntervalEnding,IntervalRepeatedHourFlag,SettlementPoint,SettlementPointType,LMP
05/01/2014 00:00:01,N,1,05/01/2014 00:05:00,N,AMISTAD_ALL,RN,28.71
05/01/2014 00:00:01,N,1,05/01/2014 00:05:00,N,AMOCOOIL_CC1,LCCRN,28.71
05/01/2014 00:00:01,N,1,05/01/2014 00:05:00,N,AMOCOOIL_CC2,LCCRN,28.71
