DC_Tie,GMT_Interval_Ending,Interval_Ending,Repeated_Hour,MW,Import_Export
DC_E,06/27/2024 05:15,06/27/2024 00:15,N,100,IMPORT
DC_E,06/27/2024 05:30,06/27/2024 00:30,N,100,IMPORT
DC_E,06/27/2024 05:45,06/27/2024 00:45,N,100,IMPORT
