"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM   HASL  WGR","SUM  LASL WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"04/29/2014 00:00:16","N","12450.92651748","13118.58305358","8225.74284362","102.82153224","102.82153224","0","89.30606651","355","112","12557.14869"
"04/29/2014 00:15:08","N","12605.43399429","13147.60316467","8245.63618469","84.41957092","84.41957092","0","0","375","112","12746.86326"
"04/29/2014 00:30:10","N","12537.29205703","13143.04978942","8245.69743347","52.27859067","52.27859067","0","","","","12645.93045"
