DeliveryDate,HourEnding,REGDN,REGUP,RRSPFR,RRSFFR,RRSUFR,ECRSSD,ECRSMD,NSPIN,DSTFlag
12/05/2025,01:00,5677.8,6695.8,8676.7,150.4,892.2,8449.1,268.5,8259,N
12/05/2025,02:00,4762.3,6725.8,8736.9,100,888.9,8567.5,272.3,8275,N
12/05/2025,03:00,4743.7,6701.5,8638.2,150.4,893.7,8515.8,272.3,8335.9,N
