DeliveryDate,DeliveryHour,ASType,MCPCOriginal,MCPCCorrected,PriceCorrectionTime,DSTFlag
07/20/2018,15,NSPIN,139.79,140.06,07/23/2018 15:00:00,N
07/20/2018,15,REGUP,140.59,140.86,07/23/2018 15:00:00,N
07/20/2018,15,RRS,151.85,151.95,07/23/2018 15:00:00,N
