"Delivery Date","Hour Ending","Settlement Point Source location for PtP Bid","Settlement Point Sink location for PtP Bid","PtP Bid  MW","PtP Bid  Price","Bid ID"
"03/10/2014","1","AMOCO_PUN1","NUE_NUECESG8","1.9","-.5","2140310018"
"03/10/2014","1","AMOCO_PUN2","CCEC_GT1","2.5","-.5","2140310019"
"03/10/2014","1","ANACACHO_ANA","AMISTAD_ALL","1","-3500","M112789"
