DeliveryDate,HourEnding,CurrentDayForecast,DayAheadForecast,ActualLoad,DayAheadHSL,CurrentDayHSL,DSTFlag
09/06/2026,1,64907.8108,63314.2292,64360.71,89854.7,87517.2,N
09/06/2026,2,62386.7998,60729.5787,61650.78,88480.5,86076.7,N
09/06/2026,3,60178.5488,58756.3202,59677.71,87145.1,84690.5,N
