"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM   HASL  WGR","SUM  LASL WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"04/29/2014 00:00:16","N","25912.74570178","28511.51867675","16616.57844543","4241.11376839","4241.11376839","4","1267.07220083","1575.52243","564.94243675","31685.16178"
"04/29/2014 00:15:08","N","25442.48604202","27528.00245666","16284.43547058","4091.30889725","4131.41424202","4","1163.4570298","1554.33677761","541.75678436","30924.45563"
"04/29/2014 00:30:10","N","24735.69743347","27242.44395446","16110.4915924","4209.17186951","4209.17186951","4","1159.56618484","1175.22133478","425.64134153","30310.64647"
