SCED Timestamp,Repeated Hour Flag,MW Offered,RRSFFR Offer Price
12/05/2025 00:00:19,N,397.6,0
12/05/2025 00:00:19,N,597.6,.01
12/05/2025 00:00:19,N,641.6,.5
