"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"04/29/2014 00:00:16","N","3192.4","8564.3","1356.6"
"04/29/2014 00:15:08","N","3179.2","8563.1","1163.5"
"04/29/2014 00:30:10","N","3175","8558.9","1158.1"
