SCEDTimestamp,RepeatedHourFlag,ASType,CappedMCPC,UncappedMCPC
09/07/2026 12:50:20,N,ECRS,0.01,0.01
09/07/2026 12:50:20,N,NSPIN,0.02,0.02
09/07/2026 12:50:20,N,REGDN,2.3,2.3
