DeliveryDate,HourEnding,RUCTimeStamp,ConstraintID,ConstraintName,ContingencyName,Limit,Value,ViolationAmount,FromStation,ToStation,FromStationkV,ToStationkV,DSTFlag
04/30/2026,13:00,04/30/2026 11:03:03,2,940__A,SPEBTRU8,263,263,0,ENWSW,TMPTN,138,138,N
04/30/2026,13:00,04/30/2026 11:03:03,1,LAN_CT_PAVLOV1_1,SWCPYT8,157,157,0,LAN_CTY,PAVLOV,138,138,N
04/30/2026,14:00,04/30/2026 11:03:03,3,LAN_CT_PAVLOV1_1,SWCPYT8,157,157,0,LAN_CTY,PAVLOV,138,138,N
