DeliveryDate,HourEnding,RUCTimeStamp,ASType,DemandCurvePoint,Quantity,Price,RepeatedHourFlag
09/07/2026,01:00,09/06/2026 14:33:04,ECRS,1,0,5050,N
09/07/2026,01:00,09/06/2026 14:33:04,ECRS,2,345,5050,N
09/07/2026,01:00,09/06/2026 14:33:04,ECRS,3,346,3353.06,N
