IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
09/07/2026 12:30,19700.279296875,2558.06982421875,8089.20166015625,2374.83154296875,24508.83984375,13110.443359375,6365.06103515625,2520.98071289062,79227.7109375,A6,N,N
09/07/2026 12:30,19789.900390625,2551.86010742188,8094.52001953125,2379.60009765625,24406,13081.2001953125,6372.97021484375,2519.8798828125,79195.9296875,E,Y,N
09/07/2026 12:35,19882.30078125,2574.60009765625,8088.1201171875,2390.11010742188,24537.5,13123.7998046875,6403.81982421875,2538.73999023438,79538.9921875,E,Y,N
