Delivery Date,Delivery Hour,Resource Name,Reason,Count of Updates During Operating Hour
07/08/2026,8,ABINDUST_ESR1,SOC Management; SOC Management,2
07/08/2026,9,ABINDUST_ESR1,SOC Management,1
07/08/2026,10,ABINDUST_ESR1,SOC Management,1
