"Delivery Date","Hour Ending","Sum Cleared DAM Bids","Sum Cleared 3PO","Sum Cleared Energy Only Offers"
"03/10/2014","1","-1585.5","255.8","859.8"
"03/10/2014","2","-1593.6","247.3","868.6"
"03/10/2014","3","-1633.8","241.1","885.2"
