"Delivery Date","Hour Ending","Settlement Point","QSE Name","Energy Only Bid Award in MW","Settlement Point Price","Bid ID"
"03/02/2014","1","BYU_BYU_34","QEAGL3","-24","14.93","ETALYN09-335"
"03/02/2014","1","DC_S","QMACQ1","0","15.79","d15"
"03/02/2014","1","DDPEC_GT4","QCALP","-170","14.93","000016"
