DeliveryDate,HourEnding,RUCTimeStamp,ConstraintID,ConstraintName,ContingencyName,Limit,Value,ViolationAmount,FromStation,ToStation,FromStationkV,ToStationkV,DSTFlag
09/07/2026,14:00,09/07/2026 12:03:03,1,SEA_AAT1,DFRYBC58,100,100,0,SEA,SEA,138,69,N
09/07/2026,14:00,09/07/2026 12:03:03,2,2270__B,SBLURDH8,34,34,0,MEXTP,ITALY,69,69,N
09/07/2026,15:00,09/07/2026 12:03:03,3,1710__A,DSALHUT5,222,222,0,SALDS,SONTERRA,138,138,N
