Interval Time,Interval Number,Resource Code,Interval Value
07/08/2026 00:14:59,1,19599_1_PV_A1,0
07/08/2026 00:14:59,1,19599_2_PV_2,0
07/08/2026 00:14:59,1,19599_PV_A,0
