DeliveryDate,HourEnding,CapGenResSouth,CapGenResNorth,CapGenResWest,CapGenResHouston,CapLoadResSouth,CapLoadResNorth,CapLoadResWest,CapLoadResHouston,OfflineAvailableMWSouth,OfflineAvailableMWNorth,OfflineAvailableMWWest,OfflineAvailableMWHouston,AvailCapGen,AvailCapReserve,CapGenResTotal,CapLoadResTotal,OfflineAvailableMWTotal,CapREGUPTotal,CapREGDNTotal,CapRRSTotal,CapECRSTotal,CapNSPINTotal,CapREGUP_RRSTotal,CapREGUP_RRS_ECRSTotal,CapREGUP_RRS_ECRS_NSPINTotal,RepeatedHourFlag
09/07/2026,01:00,24732.7,31008,17437,12967.1,1439.7,571.5,1141.6,1352.9,0,0,0,0,86144.8,22361.639,86144.8,4505.7,0,31738.4,31572.3,15810.04,36845.1,24841.4,39441.96,47365.28,55626,N
09/07/2026,02:00,24390.5,31009.7,17064.4,12862.8,1439.7,574.6,1141.6,1352.2,0,0,0,0,85327.4,23785.4049,85327.4,4508.1,0,31779.2,31613,15863.66,36915.2,24942.2,39533.06,47471.4,55702.9,N
09/07/2026,03:00,24227,31020.6,16387.2,12850.4,1439.7,574.3,1141.6,1352.1,0,0,0,0,84485.2,24804.1828,84485.2,4507.7,0,31788.8,31622.4,15861.94,36928.3,24946.2,39530.94,47468.5,55703.6,N
