SCED Timestamp,Repeated Hour Flag,MW Offered,RRSUFR Offer Price
12/05/2025 00:00:19,N,1011.2,0
12/05/2025 00:00:19,N,2526.8,.01
12/05/2025 00:00:19,N,2540.8,100
