SCED Timestamp,Repeated Hour Flag,MW Offered,NSPNM Offer Price
09/05/2026 00:00:20,N,28,.01
09/05/2026 00:00:20,N,540.9,510.42
09/05/2026 00:05:18,N,28,.01
