"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM   HASL  WGR","SUM  LASL WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"04/29/2014 00:00:16","N","15","575","3","3113.11267668","3113.11267668","4","","","","3130.92108"
"04/29/2014 00:15:08","N","14.5","576.5","3","3040.63133263","3040.63133263","4","","","","3062.67272"
"04/29/2014 00:30:10","N","14.5","576.5","3","3101.84370422","3101.84370422","4","","","","3123.49633"
