DeliveryDate,HourEnding,SettlementPoint,GroupIndex,UpdateTime,DSTFlag
09/08/2026,01:00,CHAMON_UN1,1,09/07/2026 12:30:32,N
09/08/2026,01:00,CHAMON_UN2,1,09/07/2026 12:30:32,N
09/08/2026,01:00,BVE_UNIT1,2,09/07/2026 12:30:32,N
