"TYPE","Region","TDSP","Operating Day","Channel","Actual Count","Historical Estimated Count","Default Profile Count","Total Count","Percent Actual Count","Percent Hist Estimated Count","Percent Default Profile Count"
"IDR","ERCOT","J A C ELECTRIC CO OP INC (TDSP)","01-SEP-26","1","10","0","0","10","100","0","0"
"IDR","ERCOT","CITY OF YOAKUM (TDSP)","01-SEP-26","1","0","2","0","2","0","100","0"
"IDR","ERCOT","GRAYSON COLLIN ELECTRIC COOPERATIVE INC (TDSP)","01-SEP-26","1","39","0","0","39","100","0","0"
