Delivery Date,Hour Ending,Sum DAM EN Only Bids cleared,Sum 3PO cleared,Sum DAM EN Only Offers cleared,Sum ESR Bids cleared,Sum ESR Offers cleared
09/05/2026,1,-18984.7,10425,5515.7,0,0
09/05/2026,2,-17953.6,10343.4,5283.2,0,0
09/05/2026,3,-17573.5,10441.8,5345.4,-128.2,0
