"Delivery Date","Hour Ending","Settlement Point","QSE Name","Energy Only Bid MW1","Energy Only Bid Price1","Energy Only Bid MW2","Energy Only Bid Price2","Energy Only Bid MW3","Energy Only Bid Price3","Energy Only Bid MW4","Energy Only Bid Price4","Energy Only Bid MW5","Energy Only Bid Price5","Energy Only Bid MW6","Energy Only Bid Price6","Energy Only Bid MW7","Energy Only Bid Price7","Energy Only Bid MW8","Energy Only Bid Price8","Energy Only Bid MW9","Energy Only Bid Price9","Energy Only Bid MW10","Energy Only Bid Price10","Energy Only Bid ID","Multi-Hour Block Indicator","Block/Curve indicator"
"03/02/2014","1","BYU_BYU_34","QEAGL3","24","81","","","","","","","","","","","","","","","","","","","ETALYN09-335","N","V"
"03/02/2014","1","DC_S","QMACQ1","10","-2000.15","","","","","","","","","","","","","","","","","","","d15","N","V"
"03/02/2014","1","DDPEC_GT4","QCALP","170","100","","","","","","","","","","","","","","","","","","","000016","N","V"
