"Delivery Date","Hour Ending","QSE","Total Self-Arranged AS RegUp","Total Self-Arranged AS RegDown","Total Self-Arranged AS NonSpin","Total Self-Arranged AS RRS for Gen","Total Self-Arranged AS RRS for CLR","Total Self-Arranged AS RRS for NCLR"
"03/02/2014","1","QAEN","20.1","18.1","0","60","0","0"
"03/02/2014","1","QALTRE","","","","0","0","10"
"03/02/2014","1","QCPSE","0","0","91.6","0","0","0"
