"Delivery Date","Hour Ending","Sum Cleared DAM Bids","Sum Cleared 3PO","Sum Cleared Energy Only Offers"
"03/10/2014","1","-1237.6","930.1","791"
"03/10/2014","2","-1248.1","934.1","812"
"03/10/2014","3","-1250.9","938.1","824"
