Delivery Date,Hour Ending,Sum DAM EN Only Bids cleared,Sum 3PO cleared,Sum DAM EN Only Offers cleared,Sum ESR Bids cleared,Sum ESR Offers cleared
09/05/2026,1,-5413.3,4048.1,1190.5,0,0
09/05/2026,2,-5251.4,4047.1,1068.7,0,0
09/05/2026,3,-5189.5,4052.1,1151.1,-103.4,0
