ScedTimestamp,ResourceType,ResourceName,MeterName,MeterLMPOriginal,MeterLMPCorrected,RTORPAOriginal,RTORPACorrected,RTORDPAOriginal,RTORDPACorrected,FinalLMPOriginal,FinalLMPCorrected,PriceCorrectionTime,DSTFlag
07/08/2022 13:40:12,SODG,ALEXIS_ALEXIS,CPLALXSGP0100,112.12,112.12,178.95,178.95,0.3,0,291.37,291.07,07/12/2022 15:00:00,N
07/08/2022 13:45:13,SODG,ALEXIS_ALEXIS,CPLALXSGP0100,84.96,84.96,112.87,112.87,28.3,0,226.13,197.83,07/12/2022 15:00:00,N
07/08/2022 13:50:12,SODG,ALEXIS_ALEXIS,CPLALXSGP0100,125.14,125.14,202.13,202.13,87.24,0,414.51,327.27,07/12/2022 15:00:00,N
