DELIVERYDATE,HOURENDING,STL_PNT,TOTAL_PTP_OBL_AWARDED_SOURCE,TOTAL_PTP_OBL_AWARDED_SINK,DSTFlag
06/26/2026,01:00,7RNCHSLR_ALL,0,40.7,N
06/26/2026,01:00,A4_DGR1_RN,12.2,21.6,N
06/26/2026,01:00,ABINDUST_RN,1.8,50,N
