DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
09/07/2026,1:00,15084.543,2044.0164,7845.854,1883.9669,18833.4199,10348.3779,5255.5454,2072.2061,63367.9296,A3,N,N
09/07/2026,1:00,15187.0684,1971.7526,7764.9624,1929.8362,19065.998,10261.0605,5154.0083,2089.7778,63424.4642,A6,N,N
09/07/2026,1:00,15169.5,2081.6699,7684.4302,1885.66,19085,10528.2998,5311.9199,2150.1699,63896.6497,E,N,N
