"SCED Time Stamp","Repeated Hour Flag","Price","MW"
"03/10/2014 00:00:13","N","-250","655.49999845"
"03/10/2014 00:00:13","N","-249","2128.10030886"
"03/10/2014 00:00:13","N","-248","2128.10031076"
