DeliveryDate,DeliveryHour,SettlementPoint,SPPOriginal,SPPCorrected,PriceCorrectionTime,DSTFlag
12/06/2025,1,ASTRA_RN,46.61,46.62,12/09/2025 10:00:00,N
12/06/2025,1,BIGSTAR_ALL,45.86,45.87,12/09/2025 10:00:00,N
12/06/2025,1,CPSES_UNIT1,45.3,45.31,12/09/2025 10:00:00,N
