DeliveryDate,HourEnding,REGDN,REGUP,RRS,NSPIN,DSTFlag
05/02/2014, 01:00, 1525.7, 1898.2, 4378, 3424.3,N
05/02/2014, 02:00, 1527.5, 1877.9, 4373.6, 3430.8,N
05/02/2014, 03:00, 1527.5, 1878.3, 4362.1, 3436.6,N
