DeliveryDate,DeliveryHour,ASType,MCPCOriginal,MCPCCorrected,PriceCorrectionTime,DSTFlag
06/27/2025,2,REGUP,1.21,1.3,09/26/2025 16:00:00,N
06/27/2025,2,RRS,0.79,0.9,09/26/2025 16:00:00,N
06/27/2025,3,REGDN,0.62,0.68,09/26/2025 16:00:00,N
