DeliveryDate,HourEnding,RUCTimeStamp,ASType,DemandCurvePoint,Quantity,Price,RepeatedHourFlag
02/26/2026,17:00,02/26/2026 15:03:03,ECRS,1,0,5050,N
02/26/2026,17:00,02/26/2026 15:03:03,ECRS,2,40,5050,N
02/26/2026,17:00,02/26/2026 15:03:03,ECRS,3,41,3353.06,N
