"Delivery Date","Hour Ending","Sum Cleared DAM Bids","Sum Cleared 3PO","Sum Cleared Energy Only Offers"
"03/10/2014","1","-4667.3","2143.3","1832.3"
"03/10/2014","2","-4222.5","2026.9","1861.5"
"03/10/2014","3","-4235.6","1950","1852.1"
