Delivery Date,Hour Ending,Sum DAM EN Only Bids cleared,Sum 3PO cleared,Sum DAM EN Only Offers cleared,Sum ESR Bids cleared,Sum ESR Offers cleared
09/05/2026,1,-40439.9,25272.9,15103.5,-3.2,66.7
09/05/2026,2,-38446.2,25003.3,13434,-8.3,17.6
09/05/2026,3,-37548.3,25079.7,12928.3,-489.8,30.3
