"SCED Time Stamp","Repeated Hour Flag","SUM LSL OUTPUT SCHEDULE","SUM HSL OUTPUT SCHEDULE","SUM OUTPUTSCHEDULE"
"04/29/2014 00:00:16","N","683.5","1370.5","323.4"
"04/29/2014 00:15:08","N","670.3","1357.3","308.6"
"04/29/2014 00:30:10","N","666.1","1353.1","303.2"
