DeliveryDate,HourEnding,North,South,West,Houston,SystemTotal,DSTFlag
09/07/2026,1:00,22122.619443518067837,17020.729026806640625,10014.988855944825288,14624.82368447265625,63783.16101074219,N
09/07/2026,2:00,20896.932544433590661,16315.417444165037327,10089.482447143549512,14240.1626814453125,61541.99511718749,N
09/07/2026,3:00,19834.340149853514442,15927.956511560057726,10034.156493273925332,13884.5640572265625,59681.01721191406,N
