OperatingDate,ResourcePOLnonIRRnonPUN,ResourcePOLESR,AggApprovedResourcePOLnonIRRnonPUN,AggReceivedResourcePOLnonIRRnonPUN,ResourcePOLIRR,AggApprovedResourcePOLIRR,AggReceivedResourcePOLIRR,AggApprovedResourcePOLESR,AggReceivedResourcePOLESR
07/02/2026,2216,0,30,0,3519,0,0,0,0
07/03/2026,2221,0,30,0,3519,0,0,0,0
07/04/2026,2225,0,30,0,3519,0,0,0,0
