DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
05/02/2014,01:00,AMISTAD_ALL, 29.92,N
05/02/2014,01:00,AMOCOOIL_CC1, 30.21,N
05/02/2014,01:00,AMOCOOIL_CC2, 30.21,N
