IntervalEnding,Region,Value,Model,InUseFlag,DSTFlag
09/07/2026 12:45,CENTEREAST,4616.9,A,N,N
09/07/2026 12:45,CENTEREAST,4487.8,B,Y,N
09/07/2026 12:45,CENTEREAST,4552.35,C,N,N
