Delivery Date,Hour Ending,Settlement Point Source Location for PtP Bid,Settlement Point Sink Location for PtP Bid,PtP Bid Price,PtP Bid MW
09/05/2026,1,ADL_RN,BSS_U1,3.2,6.7
09/05/2026,1,ADL_RN,BSS_U1,4,6.7
09/05/2026,1,ADL_RN,BSS_U1,5,6.7
