SCED Time Stamp,Repeated Hour Flag,Resource Name,Telemetered Resource Status,Max Power Consumption,Low Power Consumption,Real Power Consumption,AS Responsibility for RRS,AS Responsibility for NonSpin,AS Responsibility for RegUp,AS Responsibility for RegDown,SCED Bid to Buy Curve-MW1,SCED Bid to Buy Curve-Price1,SCED Bid to Buy Curve-MW2,SCED Bid to Buy Curve-Price2,SCED Bid to Buy Curve-MW3,SCED Bid to Buy Curve-Price3,SCED Bid to Buy Curve-MW4,SCED Bid to Buy Curve-Price4,SCED Bid to Buy Curve-MW5,SCED Bid to Buy Curve-Price5,SCED Bid to Buy Curve-MW6,SCED Bid to Buy Curve-Price6,SCED Bid to Buy Curve-MW7,SCED Bid to Buy Curve-Price7,SCED Bid to Buy Curve-MW8,SCED Bid to Buy Curve-Price8,SCED Bid to Buy Curve-MW9,SCED Bid to Buy Curve-Price9,SCED Bid to Buy Curve-MW10,SCED Bid to Buy Curve-Price10,SCED Bid to Buy Curve-MW11,SCED Bid to Buy Curve-Price11,SCED Bid to Buy Curve-MW12,SCED Bid to Buy Curve-Price12,SCED Bid to Buy Curve-MW13,SCED Bid to Buy Curve-Price13,SCED Bid to Buy Curve-MW14,SCED Bid to Buy Curve-Price14,SCED Bid to Buy Curve-MW15,SCED Bid to Buy Curve-Price15,SCED Bid to Buy Curve-MW16,SCED Bid to Buy Curve-Price16,SCED Bid to Buy Curve-MW17,SCED Bid to Buy Curve-Price17,SCED Bid to Buy Curve-MW18,SCED Bid to Buy Curve-Price18,SCED Bid to Buy Curve-MW19,SCED Bid to Buy Curve-Price19,SCED Bid to Buy Curve-MW20,SCED Bid to Buy Curve-Price20,SCED Bid to Buy Curve-MW21,SCED Bid to Buy Curve-Price21,SCED Bid to Buy Curve-MW22,SCED Bid to Buy Curve-Price22,SCED Bid to Buy Curve-MW23,SCED Bid to Buy Curve-Price23,SCED Bid to Buy Curve-MW24,SCED Bid to Buy Curve-Price24,SCED Bid to Buy Curve-MW25,SCED Bid to Buy Curve-Price25,SCED Bid to Buy Curve-MW26,SCED Bid to Buy Curve-Price26,SCED Bid to Buy Curve-MW27,SCED Bid to Buy Curve-Price27,SCED Bid to Buy Curve-MW28,SCED Bid to Buy Curve-Price28,SCED Bid to Buy Curve-MW29,SCED Bid to Buy Curve-Price29,SCED Bid to Buy Curve-MW30,SCED Bid to Buy Curve-Price30,SCED Bid to Buy Curve-MW31,SCED Bid to Buy Curve-Price31,SCED Bid to Buy Curve-MW32,SCED Bid to Buy Curve-Price32,SCED Bid to Buy Curve-MW33,SCED Bid to Buy Curve-Price33,SCED Bid to Buy Curve-MW34,SCED Bid to Buy Curve-Price34,SCED Bid to Buy Curve-MW35,SCED Bid to Buy Curve-Price35,HASL,HDL,LASL,LDL,Base Point
12/02/2019 00:00:22,N,ACRLY_LD1,ONRL,.4,0,.3,.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
12/02/2019 00:00:22,N,ADK_LD1,ONRL,10,0,1.3,.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
12/02/2019 00:00:22,N,ADMDS_LD1,OUTL,5.3,5.4,5.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
