DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,ACTUAL_LZ_SOUTH_HOUSTON,COP_HSL_LZ_SOUTH_HOUSTON,STWPF_LZ_SOUTH_HOUSTON,WGRPP_LZ_SOUTH_HOUSTON,ACTUAL_LZ_WEST,COP_HSL_LZ_WEST,STWPF_LZ_WEST,WGRPP_LZ_WEST,ACTUAL_LZ_NORTH,COP_HSL_LZ_NORTH,STWPF_LZ_NORTH,WGRPP_LZ_NORTH,DSTFlag
08/29/2023,24,6304.72,6766.6,6314.1,3616.8,702.54,529.1,723.1,420.5,4966.96,5397.9,4912.8,2811.4,635.22,839.6,678.2,384.9,N
08/30/2023,01,5972.69,6063.6,5984,3399.8,702.4,560.7,648.7,341.4,4782.35,4731.8,4837.1,2800.2,487.94,771.1,498.2,258.2,N
08/30/2023,02,5147.42,5196.8,5313.7,2900.2,755.26,553,746.4,392.7,4027.74,4145,4186,2317.8,364.42,498.8,381.3,189.7,N
