"Delivery Date","Hour Ending","Settlement Point","QSE Name","Energy Only Offer Award in MW","Settlement Point Price","Offer ID"
"03/02/2014","1","BASTEN_CCU","QDIRE5","0","14.98","1927"
"03/02/2014","1","BBSES_UNIT2","QLUMN","0","14.98","486042153"
"03/02/2014","1","BUFF_GAP_ALL","QDIRE","0","15","2925"
