Delivery Date,Hour Ending,QSE Name,AS Type,Offer ID,Quantity1 Award,Quantity2 Award,Quantity3 Award,Quantity4 Award,Quantity5 Award,Total Award,MCPC
07/09/2026,1,QBTU,NSPIN,NSRS,0,0,0,0,0,0,2
07/09/2026,1,QBTU,REGDN,REGDN,0,0,0,0,0,0,.49
07/09/2026,1,QBTU,REGUP,REGUP,0,0,0,0,0,0,.38
